year,geography_type,geography_name,geography_id,total_storefronts,vacant_storefronts,median_rent_psf,vacancy_rate
2019,census tract,2.0089.00,2.0089.00,57,NA,3,NA
2019,census tract,2.0244.00,2.0244.00,22,NA,2.17,NA
2019,census tract,3.0363.00,3.0363.00,12,NA,NA,NA
2019,census tract,3.0364.00,3.0364.00,17,NA,4.14,NA
2019,census tract,3.0366.00,3.0366.00,13,NA,5.970000000000001,NA
2019,census tract,3.0441.00,3.0441.00,43,NA,3,NA
2019,citywide,Citywide,Citywide,69654,NA,4.51,NA
2019,borough,Manhattan,MN,25282,NA,9,NA
2019,borough,Bronx,BX,9944,658,3,0.06617055510860821
2019,borough,Brooklyn,BK,16353,NA,3.19,NA
2019,borough,Queens,QN,15075,980,3.67,0.06500829187396352
2019,borough,Staten Island,SI,3000,237,3,0.079
2019,council district,1,1,4702,467,9,0.09931943853679286
2019,council district,2,2,2714,223,9,0.0821665438467207
2019,council district,3,3,4930,507,11,0.1028397565922921
2019,council district,4,4,4949,463,14,0.09355425338452213
2019,council district,5,5,1585,126,9,0.07949526813880126
2019,council district,6,6,1311,93,11,0.07093821510297482
2019,council district,7,7,1192,93,7,0.07802013422818792
2019,council district,8,8,1562,123,4,0.07874519846350832
2019,council district,9,9,1312,114,4,0.08689024390243902
2019,council district,10,10,1789,118,5.58,0.06595863610955842
2019,council district,11,11,1130,64,3.25,0.05663716814159292
2019,council district,12,12,987,64,2.66,0.06484295845997974
2019,council district,13,13,1108,80,3,0.07220216606498195
2019,council district,14,14,1178,50,4,0.042444821731748725
2019,council district,15,15,1378,103,3,0.07474600870827286
2019,council district,16,16,892,50,3,0.05605381165919283
2019,council district,17,17,1591,141,3,0.08862350722815839
2019,council district,18,18,907,50,3,0.05512679162072767
2019,council district,19,19,1412,76,3,0.053824362606232294
2019,council district,20,20,1717,116,4.75,0.0675596971461852
2019,council district,21,21,1158,75,5,0.06476683937823834
2019,council district,22,22,1418,91,4,0.06417489421720733
2019,council district,23,23,690,47,3.23,0.06811594202898551
2019,council district,24,24,956,58,4,0.060669456066945605
2019,council district,25,25,982,50,5,0.05091649694501019
2019,council district,26,26,1745,142,3.5,0.08137535816618911
2019,council district,27,27,807,56,3,0.06939281288723669
2019,council district,28,28,544,29,3,0.05330882352941176
2019,council district,29,29,1220,57,4,0.04672131147540984
2019,council district,30,30,833,54,2.5,0.06482593037214886
2019,council district,31,31,573,58,2,0.1012216404886562
2019,council district,32,32,704,52,3,0.07386363636363637
2019,council district,33,33,1970,177,4.67,0.08984771573604061
2019,census tract,2.0405.02,2.0405.02,14,NA,4.46,NA
2019,council district,34,34,1613,139,3.4299999999999997,0.08617482951022938
2019,council district,35,35,836,117,4,0.13995215311004786
2019,council district,36,36,736,93,3,0.12635869565217392
2019,council district,37,37,747,56,3,0.0749665327978581
2019,council district,38,38,1532,137,3,0.08942558746736293
2019,council district,39,39,1283,114,4,0.08885424785658613
2019,council district,40,40,829,72,4,0.08685162846803378
2019,council district,41,41,767,57,3,0.07431551499348109
2019,council district,42,42,555,39,3,0.07027027027027027
2019,council district,43,43,1122,63,3.3699999999999997,0.05614973262032086
